,Date,CapMrktCurUSD,PriceUSD,Number of Coins
441,10/16/2018,7828958484.0,449.78282360000003,17406085.9446301
442,10/17/2018,7678240816.0,441.07798770000005,17407898.444531694
443,10/18/2018,7515207029.0,431.66784620000004,17409698.440958373
444,10/19/2018,7605313141.0,436.7979991,17411510.942518875
445,10/20/2018,7724810461.0,443.6139862,17413360.942856584
446,10/21/2018,7732546729.0,444.0168228999999,17414985.942416646
447,10/22/2018,7741626101.0,444.48872530000006,17416923.445639532
448,10/23/2018,7637531526.0,438.4686648,17418648.44431638
449,10/24/2018,7626915761.0,437.81365980000004,17420460.94332482
450,10/25/2018,7614469998.0,437.050304,17422410.940595068
451,10/26/2018,7576957836.0,434.8572703,17424010.94219443
452,10/27/2018,7570730035.0,434.4558972,17425773.44165925
453,10/28/2018,7610580426.0,436.6992195,17427510.941544056
454,10/29/2018,7206826866.0,413.4871355,17429385.940351702
455,10/30/2018,7314080976.0,419.59713789999995,17431198.440974876
456,10/31/2018,7377618550.0,423.19818269999996,17433010.942842126
457,11/1/2018,7369672098.0,422.7002255,17434748.442072928
458,11/2/2018,8029591032.0,460.5014875,17436623.441960108
459,11/3/2018,8304110973.0,476.1931277,17438535.942567322
460,11/4/2018,9913687002.0,568.4315542,17440423.440166578
461,11/5/2018,9650831930.0,553.3016597999999,17442260.94222897
462,11/6/2018,10885435371.0,624.0173321000001,17444123.441839892
463,11/7/2018,10695983100.0,613.0975015,17445810.94170386
464,11/8/2018,9979980011.0,571.9973464999999,17447598.440913398
465,11/9/2018,9411959866.0,539.3847628,17449435.940944236
466,11/10/2018,9637450855.0,552.2495416,17451260.940983277
467,11/11/2018,9146421744.0,524.0568157,17453110.941382993
468,11/12/2018,8921233645.0,511.1034722,17454848.441156805
469,11/13/2018,8800943782.0,504.15602340000004,17456785.942270268
470,11/14/2018,7455142636.0,427.0272587,17458235.94188274
471,11/15/2018,6776530536.0,388.1133087,17460185.94079714
472,11/16/2018,6100926380.0,349.38080510000003,17462110.942968912
473,11/17/2018,6422899195.0,367.7867896,17463648.441493668
474,11/18/2018,5776442661.0,330.73614360000005,17465410.940952867
475,11/19/2018,4984376979.0,285.3537518,17467360.942545
476,11/20/2018,3923652835.0,224.6082352,17468873.443158597
477,11/21/2018,4277469028.0,244.83762599999997,17470635.93893857
478,11/22/2018,3660064710.0,209.4761993,17472460.93938463
479,11/23/2018,3558871476.0,203.66669299999998,17473998.441168778
480,11/24/2018,3060099494.0,175.10912230000002,17475385.94110125
481,11/25/2018,3146653255.0,180.04476069999998,17477060.941768356
482,11/26/2018,3068477072.0,175.5538574,17478835.939266577
483,11/27/2018,3101701265.0,177.4367894,17480598.44572458
484,11/28/2018,3292692417.0,188.34288469999998,17482435.942534972
485,11/29/2018,3123614752.0,178.65396930000003,17484160.9410578
486,11/30/2018,2983674738.0,170.6319763,17486023.444715854
487,12/1/2018,2990593243.0,171.0099096,17487835.938836146
488,12/2/2018,2970791681.0,169.86133519999998,17489510.944336437
489,12/3/2018,2751727376.0,157.3210255,17491160.938307006
490,12/4/2018,2568311390.0,146.8203359,17492885.942920662
491,12/5/2018,2242398220.0,128.17632949999998,17494635.934320465
492,12/6/2018,1860953758.0,106.3623324,17496360.939147662
493,12/7/2018,1839480901.0,105.12386629999999,17498223.436251223
494,12/8/2018,1737819671.0,99.30533776,17499760.941349827
495,12/9/2018,1859139154.0,106.22682040000001,17501598.43812853
496,12/10/2018,1779379205.0,101.6583439,17503523.436800744
497,12/11/2018,1679110286.0,95.92052864,17505223.436600108
