,Date,CapMrktCurUSD,PriceUSD,Number of Coins
86,2019-07-13,5889555186.839439,31.404811850570503,187536713.0
87,2019-07-14,5407096029.321673,28.832200068056398,187536713.0
88,2019-07-15,5314322025.259899,28.3375022428803,187536713.0
89,2019-07-16,4707660759.042797,25.1026088904672,187536713.00000006
90,2019-07-17,5176812257.551051,27.6042603858107,187536713.00000003
91,2019-07-18,5469216209.46154,29.1634428372515,187536713.0
92,2019-07-19,5454778409.517865,29.086456311718898,187536713.0
93,2019-07-20,5850874096.782598,31.1985530896161,187536712.99999997
94,2019-07-21,5694174175.32584,30.3629837818787,187536713.0
95,2019-07-22,5747297641.469194,30.646253469683,187536712.99999997
96,2019-07-23,5511616843.927552,29.389535284899395,187536713.00000003
97,2019-07-24,5436278339.263281,28.9878085858489,187536713.0
